 #neart neighbor atom index
 #atomN,  j,     nn1,     nn2, ...
      1      1      2     10     11     91
      2      1      1      3     12     92
      3      1      2      4     13     93
      4      1      3      5     14     94
      5      1      4      6     15     95
      6      1      5      7     16     96
      7      1      6      8     17     97
      8      1      7      9     18     98
      9      1      8     10     19     99
     10      1      1      9     20    100
     11      1      1     12     20     21
     12      1      2     11     13     22
     13      1      3     12     14     23
     14      1      4     13     15     24
     15      1      5     14     16     25
     16      1      6     15     17     26
     17      1      7     16     18     27
     18      1      8     17     19     28
     19      1      9     18     20     29
     20      1     10     11     19     30
     21      1     11     22     30     31
     22      1     12     21     23     32
     23      1     13     22     24     33
     24      1     14     23     25     34
     25      1     15     24     26     35
     26      1     16     25     27     36
     27      1     17     26     28     37
     28      1     18     27     29     38
     29      1     19     28     30     39
     30      1     20     21     29     40
     31      1     21     32     40     41
     32      1     22     31     33     42
     33      1     23     32     34     43
     34      1     24     33     35     44
     35      1     25     34     36     45
     36      1     26     35     37     46
     37      1     27     36     38     47
     38      1     28     37     39     48
     39      1     29     38     40     49
     40      1     30     31     39     50
     41      1     31     42     50     51
     42      1     32     41     43     52
     43      1     33     42     44     53
     44      1     34     43     45     54
     45      1     35     44     46     55
     46      1     36     45     47     56
     47      1     37     46     48     57
     48      1     38     47     49     58
     49      1     39     48     50     59
     50      1     40     41     49     60
     51      1     41     52     60     61
     52      1     42     51     53     62
     53      1     43     52     54     63
     54      1     44     53     55     64
     55      1     45     54     56     65
     56      1     46     55     57     66
     57      1     47     56     58     67
     58      1     48     57     59     68
     59      1     49     58     60     69
     60      1     50     51     59     70
     61      1     51     62     70     71
     62      1     52     61     63     72
     63      1     53     62     64     73
     64      1     54     63     65     74
     65      1     55     64     66     75
     66      1     56     65     67     76
     67      1     57     66     68     77
     68      1     58     67     69     78
     69      1     59     68     70     79
     70      1     60     61     69     80
     71      1     61     72     80     81
     72      1     62     71     73     82
     73      1     63     72     74     83
     74      1     64     73     75     84
     75      1     65     74     76     85
     76      1     66     75     77     86
     77      1     67     76     78     87
     78      1     68     77     79     88
     79      1     69     78     80     89
     80      1     70     71     79     90
     81      1     71     82     90     91
     82      1     72     81     83     92
     83      1     73     82     84     93
     84      1     74     83     85     94
     85      1     75     84     86     95
     86      1     76     85     87     96
     87      1     77     86     88     97
     88      1     78     87     89     98
     89      1     79     88     90     99
     90      1     80     81     89    100
     91      1      1     81     92    100
     92      1      2     82     91     93
     93      1      3     83     92     94
     94      1      4     84     93     95
     95      1      5     85     94     96
     96      1      6     86     95     97
     97      1      7     87     96     98
     98      1      8     88     97     99
     99      1      9     89     98    100
    100      1     10     90     91     99
